Hypocenter Depth (km),Magnitude,Rrup_OpenQuake,Soil_Class,Tmax,origen,Seismic Latitude,Seismic Longitude,Station Latitude,Station Longitude,T_0.01_RotD50
6.775,3.8,3.2577118486533987,4,2.2857142857142856,NGAW2,35.632,-120.7532,35.738,-120.507,-4.19105327952425
6.775,3.8,3.686877451443263,3,2.857142857142857,NGAW2,35.632,-120.7532,35.945,-120.542,-6.605145678537665
5.568,3.8,3.7152779279684673,2,1.4035087719298245,NGAW2,36.6815,-121.3092,37.0254,-121.4845,-8.74962978964204
5.568,3.8,3.159125820462427,4,2.2222222222222223,NGAW2,36.6815,-121.3092,36.8831,-121.3908,-6.755280574245425
5.568,3.8,2.155244505095337,3,3.2,NGAW2,36.6815,-121.3092,36.6181,-121.3147,-3.424841206922279
5.568,3.8,3.673004104955646,3,4.444444444444445,NGAW2,36.6815,-121.3092,36.3887,-121.5514,-6.114299522348916
5.568,3.8,3.521643534738023,3,0.8421052631578947,NGAW2,36.6815,-121.3092,36.8268,-121.6435,-8.304346470979397
5.568,3.8,3.589611452455267,2,1.6,NGAW2,36.6815,-121.3092,37.008,-121.287,-8.042531676980188
6.483,3.58,3.5478917608129588,3,3.4782608695652177,NGAW2,37.1033,-121.5645,37.3466,-121.8077,-7.206614247544125
6.483,3.58,3.7338528197566676,3,2.4242424242424243,NGAW2,37.1033,-121.5645,37.2712,-121.9862,-7.111514182498291
6.483,3.58,3.700066643504501,3,1.8604651162790697,NGAW2,37.1033,-121.5645,37.1722,-122.0112,-6.071884892744426
6.483,3.58,3.1307001339644756,3,1.9047619047619047,NGAW2,37.1033,-121.5645,37.0492,-121.8072,-5.282558984630148
6.483,3.58,3.649358695951653,2,1.7777777777777777,NGAW2,37.1033,-121.5645,37.2063,-121.9773,-6.552232798874807
6.483,3.58,2.8213788864092133,3,2.5806451612903225,NGAW2,37.1033,-121.5645,37.1543,-121.7347,-4.639078220443406
6.483,3.58,3.3228754148866853,2,3.4782608695652177,NGAW2,37.1033,-121.5645,37.3416,-121.6426,-7.216290610450368
